代號,名稱,上市別,TSE 產業別,TSE產業名稱,員工人數-母公司,實收資本額(元),資本額,資產總額_自然變數,槓桿比,現金比率,資產報酬率(2024全年),OI,EBIT,EBITDA,董事會規模,董事會獨立性,董事長兼任總經理,高階主管薪酬長期目標,集團控制型態_量化,控制持股%,席次盈餘偏離差,AI變數,現金充裕度,TCRI,集團/非集團企業(量化),EPU數量,EPU數量_廣義,EPU數量_廣義(含政治),TESG分數,事件雷達轉換計分,環境構面分數,社會構面分數,公司治理構面分數,累計報酬率
1101,台泥,TSE,1,水泥工業,0.09672407231848976,4.084024609532007,0.9081720893388201,2.7623724740452515,-0.0956718890729729,-0.3667806350551844,-0.0791216028381525,0.04289558534148016,-0.08288709408470743,-0.09915825836246632,2.987143208575169,-1.0162049991975366,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,-1.3600958591510084,2.1146326414897816,-0.6786283212977727,1.9834108992137756,-0.8412934356146319,0.8943216102652036,2.6303661745194518,1.7916950044985278,1.46280125626337,0.20186382157449398,-5.759236672531051,1.8114110260460206,0.4603898020364001,0.9288384943359845,-0.8824941471723421
1102,亞泥,TSE,1,水泥工業,-0.1259081348013491,1.7289511109376916,0.42405829761860325,2.3832349189669912,-0.23898168828794875,-0.11428008923343473,-0.029568310922750304,0.042660194387231655,-0.0729586482256395,-0.10436045166672836,2.987143208575169,-1.0162049991975366,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,0.02421709373226832,2.0295110998502786,-0.6786283212977727,1.8021420812375297,-1.3617430585557186,0.8943216102652036,-0.39801070777234826,5.717851222679942,3.154462377964496,1.251691426981719,-1.7067677174571159,1.4802252734498298,1.388663241460574,-0.13696906705863998,-0.21475837750818555
1103,嘉泥,TSE,1,水泥工業,-0.24402101537646037,0.18509526604069415,-0.07080113860465428,1.036963092943309,-0.2457319893925473,-0.04474419944167288,-0.3226579033492144,0.04007612480059256,-0.11781123439624584,-0.14682874746055855,-0.8176570195781736,0.03798460931341549,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,0.2699772570065738,-0.4035083657280346,-0.6786283212977727,0.07834571340937561,0.19960581026754154,0.8943216102652036,4.144554615665351,1.0064637608622449,0.7378036326771735,-0.4417804841216019,0.5655839299092136,-0.5891797957255482,-0.10387073406772585,-0.21835087717432872,-0.10722657228743676
1104,環泥,TSE,1,水泥工業,-0.1089917120079828,0.1270865120353023,-0.08077350830892611,0.9266269041642436,-0.4435302096722272,-0.5708220816973799,-0.02292091810483048,0.043282672688466584,-0.06204539982258785,-0.10159925269255823,-0.8176570195781736,1.6192689999418621,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,0.1307811479321226,-0.3711894916296137,-0.6786283212977727,-0.0312830034653844,-0.32084381267354517,-1.1181659802489379,-0.39801070777234826,-0.5639987264103206,-0.7121916144952198,1.481861963484691,0.5655839299092136,1.6124297693945417,0.12961638432018818,1.147490827538378,0.29246367999917705
1108,幸福,TSE,1,水泥工業,-0.15037653205603968,-0.03083467680611166,-0.11353469665397685,0.2780230472827667,-0.06399740121185594,-1.2598825335804205,0.16683193142488034,0.04325303086459825,-0.05914968119586229,-0.08832915611480605,-0.8176570195781736,0.03798460931341549,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,0.8481764793158317,-1.5269306372055418,-0.6786283212977727,-0.10501422103145401,0.19960581026754154,0.8943216102652036,-0.39801070777234826,-0.5639987264103206,-0.7121916144952198,-0.22827387786318779,-1.5316208426314584,-0.6458388654161391,-0.8140607191642992,1.022966853024011,0.38415935119306605
1109,信大,TSE,1,水泥工業,-0.1660846389355941,-0.06644635381819121,-0.11130375875151657,0.3524675523884448,-0.48630966373069917,0.5555379297612333,-0.10148101504388271,0.04340298362063804,-0.06220190671512814,-0.07964384452605983,0.43696959462924695,-1.0162049991975366,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,1.295337606269288,-0.3270355368754329,-0.6786283212977727,-0.025764779461621312,-0.32084381267354517,0.8943216102652036,-0.39801070777234826,-0.5639987264103206,-0.47052573996648756,-1.1843668756447672,-3.907497966195853,-0.2735078360208295,-1.3499460846310054,-0.7350763462221362,-0.0020785767923241208
1110,東泥,TSE,1,水泥工業,-0.25338546370850246,0.0628518601994742,-0.10932474987294728,0.4116081423155092,-0.388508543488786,-1.1969949428806903,-0.16976786853705894,0.04300369081676465,-0.09329649690909574,-0.129137877884695,1.4387696022799275,-1.687052919811062,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,1.4661460185035042,-0.15360608572756815,-0.6786283212977727,-0.10362014338839808,0.19960581026754154,0.8943216102652036,-0.39801070777234826,-0.5639987264103206,-0.47052573996648756,-0.09704542718728494,-1.0348287776055247,0.6202215370747948,-1.578568888052505,0.015009012073068663,0.08947533872613263
1201,味全,TSE,2,食品工業,0.15411907822455406,0.025919001619087022,-0.10098334424591009,0.6118859560211333,0.06747767185095145,-1.0472529163961979,-0.05797080750840764,0.04139954505447858,-0.086339282485146,-0.05969248781367214,0.43696959462924695,-1.0162049991975366,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,0.3163759600313906,-0.4645045506461814,-0.6786283212977727,-0.07608710993804328,0.19960581026754154,0.8943216102652036,-0.39801070777234826,-0.5639987264103206,-0.7121916144952198,1.901584706519524,0.5655839299092136,1.6124297693945417,1.181119136226872,1.5955810350428346,-0.004867402733481045
1203,味王,TSE,2,食品工業,-0.05008631120965365,-0.12310703509524276,-0.1129419370999921,0.2987146989215983,-0.3499137014624462,-0.16394733987983878,0.3324124434348827,0.043943510997060516,0.003342261029927663,-0.03311056406367847,2.987143208575169,-2.4920704356162826,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,0.4520029381039328,0.12224233263360261,-0.6786283212977727,-0.07548688206394977,-0.32084381267354517,0.8943216102652036,-0.39801070777234826,0.6138481390441035,0.25447188361970907,-0.3157595116471235,0.03558558006503245,0.5649114928530282,-0.2879039836304225,-1.4792786820993402,0.9893056506944327
1210,大成,TSE,2,食品工業,0.6350288119216823,0.2436384377426152,-0.012556688882422824,1.4481237918076018,-0.026643989939562532,-0.8902696348980497,0.38921743660619745,0.041868583326277437,-0.02970823044577584,-0.03426072894361797,1.4387696022799275,-1.687052919811062,-0.4381723369555017,-0.08906352197498763,0.5492190700142385,-0.31637997902133363,-0.2678601335966339,-0.6786283212977727,0.01042315268937241,-0.8412934356146319,0.8943216102652036,-0.39801070777234826,0.22123251722596213,-0.22885986543775536,0.006062641200924807,-0.19750951728658517,-0.7847884887049684,0.4830899385463363,0.3444582674811587,-0.22022320344474713
